Label,Western,Eastern
"Preference for inaction
 [Interventionism]",0.06192559935183398,0.0660136375488222
"Sparing females
 [Gender]",0.11016084624562929,0.09618860215311945
"Sparing higher status
 [Social Status]",0.33996079125080175,0.3179449212841577
"Sparing humans
 [Species]",0.5663410631539321,0.5996933330890272
"Sparing more characters
 [No. Characters]",0.5081564416728724,0.41177973348323327
"Sparing pedestrians
 [Relation to AV]",0.08324047859180107,0.16634672646084295
"Sparing the fit
 [Fitness]",0.15642650813109588,0.12476773808949246
"Sparing the lawful
[Law]",0.3498931054011485,0.38939615551873663
"Sparing the younger
 [Age]",0.48681102391532044,0.39387116029109376
