Label,Older,Younger
"Preference for inaction
 [Interventionism]",0.0852612540680732,0.043843945442943
"Sparing females
 [Gender]",0.128152934544875,0.131142543362098
"Sparing higher status
 [Social Status]",0.287742898016303,0.419179852018479
"Sparing humans
 [Species]",0.741179126005893,0.586772516325733
"Sparing more characters
 [No. Characters]",0.502356484428447,0.600747486317036
"Sparing pedestrians
 [Relation to AV]",0.189139056827308,0.0366328889613362
"Sparing the fit
 [Fitness]",0.117142969647938,0.198821792354365
"Sparing the lawful
[Law]",0.377103373945294,0.449170075232802
"Sparing the younger
 [Age]",0.445807523381117,0.585606093084723
