Label,Less Educated,More Educated
"Preference for inaction
 [Interventionism]",0.227610505597035,0.229370225615084
"Sparing females
 [Gender]",0.203337819179285,0.240136004154128
"Sparing higher status
 [Social Status]",0.135477224114114,0.0658990095897669
"Sparing humans
 [Species]",0.882327284789449,0.868914842903085
"Sparing more characters
 [No. Characters]",0.281966489671988,0.195504536343457
"Sparing pedestrians
 [Relation to AV]",0.548293969320747,0.638057581464484
"Sparing the fit
 [Fitness]",-0.0769932914262474,-0.138748359454495
"Sparing the lawful
[Law]",0.582323326496364,0.479702258084694
"Sparing the younger
 [Age]",0.268989492485423,0.307259155156645
