Label,Older,Younger
"Preference for inaction
 [Interventionism]",0.244344627321376,0.236693810422407
"Sparing females
 [Gender]",0.180510300930748,0.211389281546456
"Sparing higher status
 [Social Status]",0.0637081813462506,0.080744090383804
"Sparing humans
 [Species]",0.863476202975638,0.854367451201767
"Sparing more characters
 [No. Characters]",0.197397578842013,0.195512904041922
"Sparing pedestrians
 [Relation to AV]",0.646093792102384,0.620592625488153
"Sparing the fit
 [Fitness]",-0.125281968515489,-0.0927661206215605
"Sparing the lawful
[Law]",0.527021990309355,0.524577954319763
"Sparing the younger
 [Age]",0.292800593858958,0.295289327199012
