Label,Western,Eastern
"Preference for inaction
 [Interventionism]",-0.153096099535481,-0.161523332756239
"Sparing females
 [Gender]",0.115148969358909,0.0990830015019625
"Sparing higher status
 [Social Status]",0.109163746450696,0.0490098986516476
"Sparing humans
 [Species]",0.169083466673325,0.192496899857083
"Sparing more characters
 [No. Characters]",0.214733092747977,0.0243596873011823
"Sparing pedestrians
 [Relation to AV]",-0.262170217284961,-0.399400157948981
"Sparing the fit
 [Fitness]",-0.180607081567792,-0.14225783328854
"Sparing the lawful
[Law]",-0.172887172887173,-0.191973969631236
"Sparing the younger
 [Age]",-0.103427809402004,-0.0782402012969001
