Label,Conservative,Progressive
"Preference for inaction
 [Interventionism]",0.342760502744241,0.213139031510519
"Sparing females
 [Gender]",0.120563420652204,0.248068784983075
"Sparing higher status
 [Social Status]",0.145519619830038,-0.131712628846686
"Sparing humans
 [Species]",0.859254555376813,0.791624880234749
"Sparing more characters
 [No. Characters]",0.175210114706658,0.0218681132035557
"Sparing pedestrians
 [Relation to AV]",0.56381696022947,0.84813272976347
"Sparing the fit
 [Fitness]",-0.130896009720414,-0.2145356949544
"Sparing the lawful
[Law]",0.445608380338436,0.403570091124703
"Sparing the younger
 [Age]",0.199000877208831,0.263578842725305
